title,publish_time,authors
IbMADS1 (Ipomoea batatas MADS-box 1 gene) is Involved in Tuberous Root Initiation in Sweet Potato (Ipomoea batatas),2008-05-07,"Ku, Amy Tsu; Huang, Yi-Shiuan; Wang, Yu-Shu; Ma, Daifu; Yeh, Kai-Wun"
Novel Mechanistic Insights into Viral Modulation of Immune Receptor Signaling,2009-07-31,"Sigalov, Alexander B."
Influence of Dendritic Cells on Viral Pathogenicity,2009-07-31,"Freer, Giulia; Matteucci, Donatella"
New angiotensins,2008-04-25,"Varagic, Jasmina; Trask, Aaron J.; Jessup, Jewell A.; Chappell, Mark C.; Ferrario, Carlos M."
Constitutional Flavonoids Derived from Epimedium Dose-Dependently Reduce Incidence of Steroid-Associated Osteonecrosis Not via Direct Action by Themselves on Potential Cellular Targets,2009-07-29,"Zhang, Ge; Wang, Xin-Luan; Sheng, Hui; Xie, Xin-Hui; He, Yi-Xin; Yao, Xin-Sheng; Li, Zi-Rong; Lee, Kwong-Man; He, Wei; Leung, Kwok-Sui; Qin, Ling"
Severe Acute Respiratory Syndrome Coronavirus M Protein Inhibits Type I Interferon Production by Impeding the Formation of TRAF3·TANK·TBK1/IKKϵ Complex,2009-04-20,"Siu, Kam-Leung; Kok, Kin-Hang; Ng, Ming-Him James; Poon, Vincent K. M.; Yuen, Kwok-Yung; Zheng, Bo-Jian; Jin, Dong-Yan"
Effectiveness of national cervical cancer screening programme in Taiwan: 12-year experiences,2009-06-16,"Chen, Y-Y; You, S-L; Chen, C-A; Shih, L-Y; Koong, S-L; Chao, K-Y; Hsiao, M-L; Hsieh, C-Y; Chen, C-J"
Is dengue a threat to the blood supply?,2009-04-10,"Teo, D; Ng, L C; Lam, S"
Reading chest radiographs in the critically ill (Part II): Radiography of lung pathologies common in the ICU patient,2009,"Khan, Ali Nawaz; Al-Jahdali, Hamdan; AL-Ghanem, Sarah; Gouda, Alaa"
"Public perceptions, anxiety, and behaviour change in relation to the swine flu outbreak: cross sectional telephone survey",2009-07-02,"Rubin, G James; Amlôt, Richard; Page, Lisa; Wessely, Simon"
Structure of the C-terminal domain of nsp4 from feline coronavirus,2009-08-01,"Manolaridis, Ioannis; Wojdyla, Justyna A.; Panjikar, Santosh; Snijder, Eric J.; Gorbalenya, Alexander E.; Berglind, Hanna; Nordlund, Pär; Coutard, Bruno; Tucker, Paul A."
Musings on privacy issues in health research involving disaggregate geographic data about individuals,2009-07-20,"Boulos, Maged N Kamel; Curtis, Andrew J; AbdelMalik, Philip"
Temporal Variability and Social Heterogeneity in Disease Transmission: The Case of SARS in Hong Kong,2009-08-21,"Cori, Anne; Boëlle, Pierre-Yves; Thomas, Guy; Leung, Gabriel M.; Valleron, Alain-Jacques"
"Distribution and seasonality of rhinovirus and other respiratory viruses in a cross-section of asthmatic children in Trinidad, West Indies",2009-06-25,"Matthew, Jason; Pinto Pereira, Lexley M; Pappas, Tressa E; Swenson, Cheri A; Grindle, Kris A; Roberg, Kathy A; Lemanske, Robert F; Lee, Wai-Ming; Gern, James E"
The role of NH(4)Cl and cysteine proteases in Human Papillomavirus type 16 infection,2009-07-20,"Dabydeen, Sarah A; Meneses, Patricio I"
Beyond traditional surveillance: applying syndromic surveillance to developing settings – opportunities and challenges,2009-07-16,"May, Larissa; Chretien, Jean-Paul; Pavlin, Julie A"
Colonization and infection of the respiratory tract: What do we know?,2004-01-10,"Robinson, Joan"
Regulation of the apoptosis-inducing kinase DRAK2 by cyclooxygenase-2 in colorectal cancer,2009-07-28,"Doherty, G A; Byrne, S M; Austin, S C; Scully, G M; Sadlier, D M; Neilan, T G; Kay, E W; Murray, F E; Fitzgerald, D J"
What infection control measures will people carry out to reduce transmission of pandemic influenza? A focus group study,2009-07-23,"Morrison, Leanne G; Yardley, Lucy"
Retrospective analysis of nosocomial infections in the intensive care unit of a tertiary hospital in China during 2003 and 2007,2009-07-25,"Ding, Ji-Guang; Sun, Qing-Feng; Li, Ke-Cheng; Zheng, Ming-Hua; Miao, Xiao-Hui; Ni, Wu; Hong, Liang; Yang, Jin-Xian; Ruan, Zhan-Wei; Zhou, Rui-Wei; Zhou, Hai-Jiao; He, Wen-Fei"
Corticosteroids for pain relief in sore throat: systematic review and meta-analysis,2009-08-06,"Hayward, Gail; Thompson, Matthew; Heneghan, Carl; Perera, Rafael; Del Mar, Chris; Glasziou, Paul"
Estimating Sensitivity of Laboratory Testing for Influenza in Canada through Modelling,2009-08-18,"Schanzer, Dena L.; Garner, Michael J.; Hatchette, Todd F.; Langley, Joanne M.; Aziz, Samina; Tam, Theresa W. S."
Rooting human parechovirus evolution in time,2009-07-15,"Faria, Nuno R; de Vries, Michel; van Hemert, Formijn J; Benschop, Kimberley; van der Hoek, Lia"
Lessons learned from international responses to severe acute respiratory syndrome (SARS),2005-09-01,"Oshitani, Hitoshi"
Control of Severe Acute Respiratory Syndrome in Singapore,2005-09-01,"Chan, Kwai Pen"
"Advocacy, promotion and e-learning: Supercourse for zoonosis",2005-09-01,"Matibag, Gino C.; Igarashi, Manabu; La Porte, Ron E.; Tamashiro, Hiko"
Risk of transmission of airborne infection during train commute based on mathematical model,2007-03-01,"Furuya, Hiroyuki"
Generation and Characterization of Novel Human IRAS Monoclonal Antibodies,2009-08-10,"Wang, Bo; Liu, Ying; Shan, Yajun; Yao, Zhenyu; Liu, Xiaolan; Su, Ruibin; Sun, Qihong; Cong, Yuwen; Li, Jin"
Macrophages of multiple sclerosis patients display deficient SHP-1 expression and enhanced inflammatory phenotype,2009-04-27,"Christophi, George P.; Panos, Michael; Hudson, Chad A.; Christophi, Rebecca L.; Gruber, Ross C.; Mersich, Akos T.; Blystone, Scott D.; Jubelt, Burk; Massa, Paul T."
"Human Bocavirus Infection, People’s Republic of China",2007-01-10,"Qu, Xiao-Wang; Duan, Zhao-Jun; Qi, Zheng-Yu; Xie, Zhi-Ping; Gao, Han-Chun; Liu, Wen-Pei; Huang, Can-Ping; Peng, Fu-Wang; Zheng, Li-Shu; Hou, Yun-De"
Panmicrobial Oligonucleotide Array for Diagnosis of Infectious Diseases,2007-01-10,"Palacios, Gustavo; Quan, Phenix-Lan; Jabado, Omar J.; Conlan, Sean; Hirschberg, David L.; Liu, Yang; Zhai, Junhui; Renwick, Neil; Hui, Jeffrey; Hegyi, Hedi; Grolla, Allen; Strong, James E.; Towner, Jonathan S.; Geisbert, Thomas W.; Jahrling, Peter B.; Büchen-Osmond, Cornelia; Ellerbrok, Heinz; Sanchez-Seco, Maria Paz; Lussier, Yves; Formenty, Pierre; Nichol, Stuart T.; Feldmann, Heinz; Briese, Thomas; Lipkin, W. Ian"
"Wildlife, Exotic Pets, and Emerging Zoonoses",2007-01-10,"Chomel, Bruno B.; Belotto, Albino; Meslin, François-Xavier"
"Human Bocavirus in Febrile Children, the Netherlands",2007-01-10,"Monteny, Miriam; Niesters, Hubert G.M.; Moll, Henriëtte A.; Berger, Marjolein Y."
"Interaction Between Humans and Poultry, Rural Cambodia",2007-01-10,"Ly, Sowath; Van Kerkhove, Maria D.; Holl, Davun; Froehlich, Yves; Vong, Sirenda"
"Code-based Syndromic Surveillance for Influenzalike Illness by International Classification of Diseases, Ninth Revision",2007-02-10,"Marsden-Haug, Nicola; Foster, Virginia B.; Gould, Philip L.; Elbert, Eugene; Wang, Hailiang; Pavlin, Julie A."
"Avian Influenza Risk Perception, Europe and Asia",2007-02-10,"de Zwart, Onno; Veldhuijzen, Irene K.; Elam, Gillian; Aro, Arja R.; Abraham, Thomas; Bishop, George D.; Richardus, Jan Hendrik; Brug, Johannes"
Rapid Genome Sequencing of RNA Viruses,2007-02-10,"Mizutani, Tetsuya; Endoh, Daiji; Okamoto, Michiko; Shirato, Kazuya; Shimizu, Hiroyuki; Arita, Minetaro; Fukushi, Shuetsu; Saijo, Masayuki; Lim, Chang Kweng; Ito, Mikako; Nerome, Reiko; Takasaki, Tomohiko; Ishii, Koji; Suzuki, Tetsuro; Kurane, Ichiro; Morikawa, Shigeru; Nishimura, Hidekazu"
Subclinical Infection with Avian Influenza A H5N1 Virus in Cats,2007-02-10,"Leschnik, Michael; Weikel, Joachim; Möstl, Karin; Revilla-Fernández, Sandra; Wodak, Eveline; Bagó, Zoltan; Vanek, Elisabeth; Benetka, Viviane; Hess, Michael; Thalhammer, Johann G."
Effectiveness of Neuraminidase Inhibitors for Preventing Staff Absenteeism during Pandemic Influenza,2007-03-10,"Lee, Vernon J.; Chen, Mark I."
Pregnancy and Emerging Diseases,2007-03-10,"Anker, Martha"
"Matrix Protein 2 Vaccination and Protection against Influenza Viruses, Including Subtype H5N1",2007-03-10,"Tompkins, Stephen Mark; Zhao, Zi-Shan; Lo, Chia-Yun; Misplon, Julia A.; Liu, Teresa; Ye, Zhiping; Hogan, Robert J.; Wu, Zhengqi; Benton, Kimberly A.; Tumpey, Terrence M.; Epstein, Suzanne L."
Bird Migration Routes and Risk for Pathogen Dispersion into Western Mediterranean Wetlands,2007-03-10,"Jourdain, Elsa; Gauthier-Clerc, Michel; Bicout, Dominique; Sabatier, Philippe"
"Spanish Influenza in Japanese Armed Forces, 1918–1920",2007-04-10,"Kawana, Akihiko; Naka, Go; Fujikura, Yuji; Kato, Yasuyuki; Mizuno, Yasutaka; Kondo, Tatsuya; Kudo, Koichiro"
Effectiveness of Interventions to Reduce Contact Rates during a Simulated Influenza Pandemic,2007-04-10,"Haber, Michael J.; Shay, Davis K.; Davis, Xiaohong M.; Patel, Rajan; Jin, Xiaoping; Weintraub, Eric; Orenstein, Evan; Thompson, William W."
Dengue and Relative Bradycardia,2007-04-10,"Lateef, Aisha; Fisher, Dale Andrew; Tambyah, Paul Ananth"
"Human Bocavirus, a Respiratory and Enteric Virus",2007-04-10,"Vicente, Diego; Cilla, Gustavo; Montes, Milagrosa; Pérez-Yarza, Eduardo G.; Pérez-Trallero, Emilio"
"Japanese Encephalitis Viruses from Bats in Yunnan, China",2009-06-10,"Wang, Jing-Lin; Pan, Xiao-Ling; Zhang, Hai-Lin; Fu, Shi-Hong; Wang, Huan-Yu; Tang, Qing; Wang, Lin-Fa; Liang, Guo-Dong"
RNA viruses in community-acquired childhood pneumonia in semi-urban Nepal; a cross-sectional study,2009-07-27,"Mathisen, Maria; Strand, Tor A; Sharma, Biswa N; Chandyo, Ram K; Valentiner-Branth, Palle; Basnet, Sudha; Adhikari, Ramesh K; Hvidsten, Dag; Shrestha, Prakash S; Sommerfelt, Halvor"
Interaction of short modified peptides deriving from glycoprotein gp36 of feline immunodeficiency virus with phospholipid membranes,2009-05-05,"D’Errico, Gerardino; Vitiello, Giuseppe; D’Ursi, Anna Maria; Marsh, Derek"
Mesodynamics in the SARS nucleocapsid measured by NMR field cycling,2009-07-30,"Clarkson, Michael W.; Lei, Ming; Eisenmesser, Elan Z.; Labeikovsky, Wladimir; Redfield, Alfred; Kern, Dorothee"
Regulated Ire1-dependent decay of messenger RNAs in mammalian cells,2009-08-10,"Hollien, Julie; Lin, Jonathan H.; Li, Han; Stevens, Nicole; Walter, Peter; Weissman, Jonathan S."
Type I interferon receptor-independent and -dependent host transcriptional responses to mouse hepatitis coronavirus infection in vivo,2009-08-03,"Raaben, Matthijs; Groot Koerkamp, Marian   JA; Rottier, Peter JM; de Haan, Cornelis AM"
"Liquorice Health Check, Oro-Dental Implications, and a Case Report",2009-07-08,"Touyz, Louis Z. G."
ONE HEALTH' and parasitology,2009-08-12,"Kaplan, Bruce; Kahn, Laura H; Monath, Thomas P; Woodall, Jack"
Early Epidemiological Assessment of the Virulence of Emerging Infectious Diseases: A Case Study of an Influenza Pandemic,2009-08-31,"Nishiura, Hiroshi; Klinkenberg, Don; Roberts, Mick; Heesterbeek, Johan A. P."
Empirical Relationship between Intra-Purine and Intra-Pyrimidine Differences in Conserved Gene Sequences,2009-08-28,"Nandy, Ashesh"
Identification of protein functions using a machine-learning approach based on sequence-derived properties,2009-08-09,"Lee, Bum Ju; Shin, Moon Sun; Oh, Young Joon; Oh, Hae Seok; Ryu, Keun Ho"
Willingness of Hong Kong healthcare workers to accept pre-pandemic influenza vaccination at different WHO alert levels: two questionnaire surveys,2009-08-25,"Chor, Josette S Y; Ngai, Karry LK; Goggins, William B; Wong, Martin C S; Wong, Samuel Y S; Lee, Nelson; Leung, Ting-fan; Rainer, Timothy H; Griffiths, Sian; Chan, Paul K S"
Evolutionarily Conserved Herpesviral Protein Interaction Networks,2009-09-04,"Fossum, Even; Friedel, Caroline C.; Rajagopala, Seesandra V.; Titz, Björn; Baiker, Armin; Schmidt, Tina; Kraus, Theo; Stellberger, Thorsten; Rutenberg, Christiane; Suthram, Silpa; Bandyopadhyay, Sourav; Rose, Dietlind; von Brunn, Albrecht; Uhlmann, Mareike; Zeretzke, Christine; Dong, Yu-An; Boulet, Hélène; Koegl, Manfred; Bailer, Susanne M.; Koszinowski, Ulrich; Ideker, Trey; Uetz, Peter; Zimmer, Ralf; Haas, Jürgen"
Nature of the Virus Associated with Endemic Balkan Nephropathy,2002-08-10,"Riquelme, Cristina; Escors, David; Ortego, Javier; Sanchez, Carlos M.; Uzelac-Keserovic, Branislava; Apostolov, Konstantin; Enjuanes, Luis"
Insertion/Deletion Polymorphism of Angiotensin Converting Enzyme Gene in Kawasaki Disease,2006-04-20,"Shim, Yoon Hee; Kim, Hae Soon; Sohn, Sejung; Hong, Young Mi"
The Application of Genomics to Emerging Zoonotic Viral Diseases,2009-10-26,"Haagmans, Bart L.; Andeweg, Arno C.; Osterhaus, Albert D. M. E."
Differential Regulation of Type I Interferon and Epidermal Growth Factor Pathways by a Human Respirovirus Virulence Factor,2009-09-18,"Caignard, Grégory; Komarova, Anastassia V.; Bouraï, Mehdi; Mourez, Thomas; Jacob, Yves; Jones, Louis M.; Rozenberg, Flore; Vabret, Astrid; Freymuth, François; Tangy, Frédéric; Vidalain, Pierre-Olivier"
Eating the enemy within: autophagy in infectious diseases,2008-09-05,"Orvedahl, A; Levine, B"
Identification and validation of suitable endogenous reference genes for gene expression studies in human peripheral blood,2009-08-05,"Stamova, Boryana S; Apperson, Michelle; Walker, Wynn L; Tian, Yingfang; Xu, Huichun; Adamczy, Peter; Zhan, Xinhua; Liu, Da-Zhi; Ander, Bradley P; Liao, Isaac H; Gregg, Jeffrey P; Turner, Renee J; Jickling, Glen; Lit, Lisa; Sharp, Frank R"
A host type I interferon response is induced by cytosolic sensing of the bacterial second messenger cyclic-di-GMP,2009-08-31,"McWhirter, Sarah M.; Barbalat, Roman; Monroe, Kathryn M.; Fontana, Mary F.; Hyodo, Mamoru; Joncker, Nathalie T.; Ishii, Ken J.; Akira, Shizuo; Colonna, Marco; Chen, Zhijian J.; Fitzgerald, Katherine A.; Hayakawa, Yoshihiro; Vance, Russell E."
A Serological Survey of Infectious Disease in Yellowstone National Park’s Canid Community,2009-09-16,"Almberg, Emily S.; Mech, L. David; Smith, Douglas W.; Sheldon, Jennifer W.; Crabtree, Robert L."
Respirator Donning in Post-Hurricane New Orleans,2007-05-10,"Cummings, Kristin J.; Cox-Ganser, Jean; Riggs, Margaret A.; Edwards, Nicole; Kreiss, Kathleen"
Dengue Hemorrhagic Fever in Infants: Research Opportunities Ignored,2002-12-10,"Halstead, Scott B.; Lan, Nguyen Trong; Myint, Thein Thein; Shwe, Than Nu; Nisalak, Ananda; Kalyanarooj, Siripen; Nimmannitya, Suchitra; Soegijanto, Soegeng; Vaughn, David W.; Endy, Timothy P."
SNAD: sequence name annotation-based designer,2009-08-14,"Sidorov, Igor A; Reshetov, Denis A; Gorbalenya, Alexander E"
Gene Expression Profiling in Cells with Enhanced γ-Secretase Activity,2009-09-18,"Magold, Alexandra I.; Cacquevel, Matthias; Fraering, Patrick C."
Reverse genetic characterization of the natural genomic deletion in SARS-Coronavirus strain Frankfurt-1 open reading frame 7b reveals an attenuating function of the 7b protein in-vitro and in-vivo,2009-08-24,"Pfefferle, Susanne; Krähling, Verena; Ditt, Vanessa; Grywna, Klaus; Mühlberger, Elke; Drosten, Christian"
Different altered stage correlative expression of high abundance acute-phase proteins in sera of patients with epithelial ovarian carcinoma,2009-08-27,"Chen, Yeng; Lim, Boon-Kiong; Hashim, Onn H"
Bayesian Phylogeography Finds Its Roots,2009-09-25,"Lemey, Philippe; Rambaut, Andrew; Drummond, Alexei J.; Suchard, Marc A."
Increased ATP generation in the host cell is required for efficient vaccinia virus production,2009-09-02,"Chang, Chia-Wei; Li, Hui-Chun; Hsu, Che-Fang; Chang, Chiao-Yen; Lo, Shih-Yen"
Escape from Autologous Neutralizing Antibodies in Acute/Early Subtype C HIV-1 Infection Requires Multiple Pathways,2009-09-18,"Rong, Rong; Li, Bing; Lynch, Rebecca M.; Haaland, Richard E.; Murphy, Megan K.; Mulenga, Joseph; Allen, Susan A.; Pinter, Abraham; Shaw, George M.; Hunter, Eric; Robinson, James E.; Gnanakaran, S.; Derdeyn, Cynthia A."
Crystal Structure of the N-Acetylmannosamine Kinase Domain of GNE,2009-10-20,"Tong, Yufeng; Tempel, Wolfram; Nedyalkova, Lyudmila; MacKenzie, Farrell; Park, Hee-Won"
Inducible Bronchus-Associated Lymphoid Tissue Elicited by a Protein Cage Nanoparticle Enhances Protection in Mice against Diverse Respiratory Viruses,2009-09-23,"Wiley, James A.; Richert, Laura E.; Swain, Steve D.; Harmsen, Ann; Barnard, Dale L.; Randall, Troy D.; Jutila, Mark; Douglas, Trevor; Broomell, Chris; Young, Mark; Harmsen, Allen"
Genetically Diverse Coronaviruses in Wild Bird Populations of Northern England,2009-07-10,"Hughes, Laura A.; Savage, Carol; Naylor, Clive; Bennett, Malcolm; Chantrey, Julian; Jones, Richard"
Increased Host Species Diversity and Decreased Prevalence of Sin Nombre Virus,2009-07-10,"Dizney, Laurie J.; Ruedas, Luis A."
"Chinese-like Strain of Porcine Epidemic Diarrhea Virus, Thailand",2009-07-10,"Puranaveja, Suphasawatt; Poolperm, Pariwat; Lertwatcharasarakul, Preeda; Kesdaengsakonwut, Sawang; Boonsoongnern, Alongkot; Urairong, Kitcha; Kitikoon, Pravina; Choojai, Porjit; Kedkovid, Roongtham; Teankum, Komkrich; Thanawongnuwech, Roongroje"
Viral upper respiratory tract infection and otitis media complication in young children,2008-03-15,"Chonmaitree, Tasnee; Revai, Krystal; Grady, James J.; Clos, Audra; Patel, Janak A.; Nair, Sangeeta; Fan, Jiang; Henrickson, Kelly J."
"Optimism/pessimism and health-related quality of life during pregnancy across three continents: a matched cohort study in China, Ghana, and the United States",2009-09-01,"Moyer, Cheryl A; Yang, Huixia; Kwawukume, Yao; Gupta, Anu; Zhu, YuChun; Koranteng, Isaac; Elsayed, Yasmin; Wei, YuMei; Greene, Jonathan; Calhoun, Cecilia; Ekpo, Geraldine; Beems, Megan; Ryan, Megan; Adanu, Richard; Anderson, Frank"
RNase L Mediated Protection from Virus Induced Demyelination,2009-10-02,"Ireland, Derek D. C.; Stohlman, Stephen A.; Hinton, David R.; Kapil, Parul; Silverman, Robert H.; Atkinson, Roscoe A.; Bergmann, Cornelia C."
Systems Integration of Biodefense Omics Data for Analysis of Pathogen-Host Interactions and Identification of Potential Targets,2009-09-25,"McGarvey, Peter B.; Huang, Hongzhan; Mazumder, Raja; Zhang, Jian; Chen, Yongxing; Zhang, Chengdong; Cammer, Stephen; Will, Rebecca; Odle, Margie; Sobral, Bruno; Moore, Margaret; Wu, Cathy H."
Emerging Technologies for the Detection of Rabies Virus: Challenges and Hopes in the 21st Century,2009-09-29,"Fooks, Anthony R.; Johnson, Nicholas; Freuling, Conrad M.; Wakeley, Philip R.; Banyard, Ashley C.; McElhinney, Lorraine M.; Marston, Denise A.; Dastjerdi, Akbar; Wright, Edward; Weiss, Robin A.; Müller, Thomas"
Prospects for control of emerging infectious diseases with plasmid DNA vaccines,2009-09-07,"Moss, Ronald B"
Nationwide epidemiological study of severe gallstone disease in Taiwan,2009-08-22,"Huang, John; Chang, Chia-Hsuin; Wang, Juin-Ling; Kuo, Hsu-Ko; Lin, Jou-Wei; Shau, Wen-Yi; Lee, Po-Huang"
High quality protein microarray using in situ protein purification,2009-08-23,"Kwon, Keehwan; Grose, Carissa; Pieper, Rembert; Pandya, Gagan A; Fleischmann, Robert D; Peterson, Scott N"
Human Adenovirus 14a: A New Epidemic Threat,2009-05-15,"Gray, Gregory C.; Chorazy, Margaret L."
Validation of a short form Wisconsin Upper Respiratory Symptom Survey (WURSS-21),2009-08-12,"Barrett, Bruce; Brown, Roger L; Mundt, Marlon P; Thomas, Gay R; Barlow, Shari K; Highstrom, Alex D; Bahrainian, Mozhdeh"
Physical interventions to interrupt or reduce the spread of respiratory viruses: systematic review,2009-09-21,"Jefferson, Tom; Del Mar, Chris; Dooley, Liz; Ferroni, Eliana; Al-Ansary, Lubna A; Bawazeer, Ghada A; van Driel, Mieke L; Foxlee, Ruth; Rivetti, Alessandro"
A case for a CUG-initiated coding sequence overlapping torovirus ORF1a and encoding a novel 30 kDa product,2009-09-08,"Firth, Andrew E; Atkins, John F"
Ducks: The “Trojan Horses” of H5N1 influenza,2009-05-31,"Kim, Jeong‐Ki; Negovetich, Nicholas J.; Forrest, Heather L.; Webster, Robert G."
The spike protein of SARS-CoV — a target for vaccine and therapeutic development,2009-02-09,"Du, Lanying; He, Yuxian; Zhou, Yusen; Liu, Shuwen; Zheng, Bo-Jian; Jiang, Shibo"
An Overview of Patent Law as Applied to the Field of Veterinary Medicine,2008-02-05,"Gould, James M."
Development of a fluorescent quantitative real-time polymerase chain reaction assay for the detection of Goose parvovirus in vivo,2009-09-15,"Yang, Jin-Long; Cheng, An-Chun; Wang, Ming-Shu; Pan, Kang-Cheng; Li, Min; Guo, Yu-Fei; Li, Chuan-Feng; Zhu, De-Kang; Chen, Xiao-Yue"
The Key Role of Genomics in Modern Vaccine and Drug Design for Emerging Infectious Diseases,2009-10-26,"Seib, Kate L.; Dougan, Gordon; Rappuoli, Rino"
Functional Genetic Variants in DC-SIGNR Are Associated with Mother-to-Child Transmission of HIV-1,2009-10-07,"Boily-Larouche, Geneviève; Iscache, Anne-Laure; Zijenah, Lynn S.; Humphrey, Jean H.; Mouland, Andrew J.; Ward, Brian J.; Roger, Michel"
Proteomics computational analyses suggest that the bornavirus glycoprotein is a class III viral fusion protein (γ penetrene),2009-09-18,"Garry, Courtney E; Garry, Robert F"
An effective docking strategy for virtual screening based on multi-objective optimization algorithm,2009-02-11,"Li, Honglin; Zhang, Hailei; Zheng, Mingyue; Luo, Jie; Kang, Ling; Liu, Xiaofeng; Wang, Xicheng; Jiang, Hualiang"
Efficient oligonucleotide probe selection for pan-genomic tiling arrays,2009-09-16,"Phillippy, Adam M; Deng, Xiangyu; Zhang, Wei; Salzberg, Steven L"
Procalcitonin levels and bacterial aetiology among COPD patients admitted to the ICU with severe pneumonia: a prospective cohort study,2009-09-21,"Daubin, Cédric; Parienti, Jean-Jacques; Fradin, Sabine; Vabret, Astrid; Ramakers, Michel; Terzi, Nicolas; Freymuth, François; Charbonneau, Pierre; du Cheyron, Damien"
The Replicase Gene of Avian Coronavirus Infectious Bronchitis Virus Is a Determinant of Pathogenicity,2009-10-09,"Armesto, Maria; Cavanagh, Dave; Britton, Paul"
Extraction and characterization of the rhesus macaque T cell receptor β-chain genes,2009-06-09,"Greenaway, Hui Yee; Kurniawan, Monica; Price, David A; Douek, Daniel C; Davenport, Miles P; Venturi, Vanessa"
Computational Resources in Infectious Disease: Limitations and Challenges,2009-10-26,"Berglund, Eva C.; Nystedt, Björn; Andersson, Siv G. E."
"The Role of Genomics in the Identification, Prediction, and Prevention of Biological Threats",2009-10-26,"Fricke, W. Florian; Rasko, David A.; Ravel, Jacques"
Can an Infectious Disease Genomics Project Predict and Prevent the Next Pandemic?,2009-10-26,"Gupta, Rajesh; Michalski, Mark H.; Rijsberman, Frank R."
Inhibition of RNA Recruitment and Replication of an RNA Virus by Acridine Derivatives with Known Anti-Prion Activities,2009-10-13,"Sasvari, Zsuzsanna; Bach, Stéphane; Blondel, Marc; Nagy, Peter D."
Genomics of Emerging Infectious Disease: A PLoS Collection,2009-10-26,"Eisen, Jonathan A.; MacCallum, Catriona J."
Primary biliary cirrhosis,2009-07-15,"Hohenester, Simon; Oude-Elferink, Ronald P. J.; Beuers, Ulrich"
Impairment of germline transmission after blastocyst injection with murine embryonic stem cells cultured with mouse hepatitis virus and mouse minute virus,2008-09-18,"Mahabir, E.; Reindl, K.; Mysliwietz, J.; Needham, J.; Bulian, D.; Markoullis, K.; Scherb, H.; Schmidt, J."
Up-Regulation of Hepatitis C Virus Replication and Production by Inhibition of MEK/ERK Signaling,2009-10-16,"Ndjomou, Jean; Park, In-woo; Liu, Ying; Mayo, Lindsey D.; He, Johnny J."
Cytokine Profiles in Human Immunodeficiency Virus-Infected Children Treated With Highly Active Antiretroviral Therapy,2005-05-03,"Jones, Brian M; Chiu, Susan SS; Wong, Wilfred HS; Lim, Wilina WL; Lau, Yu-lung"
Mutagenesis of the fusion peptide-like domain of hepatitis C virus E1 glycoprotein: involvement in cell fusion and virus entry,2009-09-24,"Li, Hsiao-Fen; Huang, Chia-Hsuan; Ai, Li-Shuang; Chuang, Chin-Kai; Chen, Steve SL"
"Analysis of trends in emergency department attendances, hospital admissions and medical staffing in a Hong Kong university hospital: 5-year study",2009-04-08,"Wai, Abraham K. C.; Chor, C. M.; Lee, Allen T. C.; Sittambunka, Yuwares; Graham, Colin A.; Rainer, Timothy H."
ORMA: a tool for identification of species-specific variations in 16S rRNA gene and oligonucleotides design,2009-06-16,"Severgnini, Marco; Cremonesi, Paola; Consolandi, Clarissa; Caredda, Giada; De Bellis, Gianluca; Castiglioni, Bianca"
Detection of HIV-1 RNA/DNA and CD4 mRNA in feces and urine from chronic HIV-1 infected subjects with and without anti-retroviral therapy,2009-10-02,"Chakrabarti, Ayan K; Caruso, Lori; Ding, Ming; Shen, Chengli; Buchanan, William; Gupta, Phalguni; Rinaldo, Charles R; Chen, Yue"
Small islands and pandemic influenza: Potential benefits and limitations of travel volume reduction as a border control measure,2009-09-29,"Eichner, Martin; Schwehm, Markus; Wilson, Nick; Baker, Michael G"
Evasion by Stealth: Inefficient Immune Activation Underlies Poor T Cell Response and Severe Disease in SARS-CoV-Infected Mice,2009-10-23,"Zhao, Jincun; Zhao, Jingxian; Van Rooijen, Nico; Perlman, Stanley"
Cough-generated aerosols of Pseudomonas aeruginosa and other Gram-negative bacteria from patients with cystic fibrosis,2009-07-01,"Wainwright, C E; France, M W; O’Rourke, P; Anuj, S; Kidd, T J; Nissen, M D; Sloots, T P; Coulter, C; Ristovski, Z; Hargreaves, M; Rose, B R; Harbour, C; Bell, S C; Fennelly, K P"
"Chloroplast-Derived Vaccine Antigens and Biopharmaceuticals: Expression, Folding, Assembly and Functionality",2009-01-01,"Chebolu, S.; Daniell, H."
Evidence of HIV-1 adaptation to host HLA alleles following chimp-to-human transmission,2009-10-10,"Ngandu, Nobubelo K; Seoighe, Cathal; Scheffler, Konrad"
"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",2009-10-06,"Goodwin, Robin; Haque, Shamsul; Neto, Felix; Myers, Lynn B"
A Neutralizing Human Monoclonal Antibody Protects against Lethal Disease in a New Ferret Model of Acute Nipah Virus Infection,2009-10-30,"Bossart, Katharine N.; Zhu, Zhongyu; Middleton, Deborah; Klippel, Jessica; Crameri, Gary; Bingham, John; McEachern, Jennifer A.; Green, Diane; Hancock, Timothy J.; Chan, Yee-Peng; Hickey, Andrew C.; Dimitrov, Dimiter S.; Wang, Lin-Fa; Broder, Christopher C."
The influenza A(H1N1) epidemic in Mexico. Lessons learned,2009-09-28,"Córdova-Villalobos, José A; Sarti, Elsa; Arzoz-Padrés, Jacqueline; Manuell-Lee, Gabriel; Méndez, Josefina Romero; Kuri-Morales, Pablo"
